track_id,title,artist_name,release,year,duration,artist_mbid
TRXLDWH128F42374E9,The Shadow Of Your Smile (Album Version),John Stevens,Red,2005,199.44444,6b3fbb24-0f76-4737-8df0-3865a05de23b
TRVETNB128F4225674,Emigrar,Cadena Perpetua,Malas Costumbres,2003,263.94077,fe1cb0ed-ee4e-42f6-b13b-52276b58f1b9
TRGLYYJ128F42450F7,Haley,Jeff Talmadge,Bad Tattoo,0,249.86077,6c1841b5-211a-4d63-abd1-7de8c38cba88
TRMSBET128F92E276B,Crazy 'Bout An Automobile [Every Woman I Know],Ry Cooder,The Ry Cooder Anthology: The UFO Has Landed,0,305.26649,a4e2650b-938b-4b72-95bc-6e229cd34601
TRWJWSX128F92EF795,"Variations on ""Rule Britannia"" in D Major for Piano_ WoO 79",Alfred Brendel,The 99 Most Essential Beethoven Masterpieces,0,270.13179,4a37c64f-4151-4c4b-ab69-a58450f9967e
TRNRETQ128F92E161E,Sonata for Violin and Piano in A major (1993 Digital Remaster): III.     Recitativo - Fantasia (Ben moderato - Molto lento),Jascha Heifetz/Artur Rubinstein,Icon: Jascha Heifetz,0,389.66812,eb7fb527-e324-441c-a0e9-63b5f899d990
TRVEOIG128F93279BE,Nuthin' On The TV,Bad Company,Rough Diamonds,1982,226.42893,0053dbd9-bfbc-4e38-9f08-66a27d914c38
TRQPYDP12903CE0042,Ain't No One Like You,Angelo D'Onorio,Ain't No One Like You,0,399.98649,916cf93e-f4b1-42e3-a9cd-756b2507dd34
TRWOEAE128F92F37EA,Setho,Joy Denalane,Mamani LIVE,2002,218.85342,05ec340f-c772-4995-9256-092c6931d098
TRSBHNK128F428B8A2,Broken (Album Version),Pennywise,Full Circle (Re-Mastered),0,166.37342,5c210861-2ce2-4be3-9307-bbcfc361cc01
TRZZEXP128F4255E37,El Mangú,Johnny Ventura,Sin Desperdicio,2009,275.98322,5459db1c-a96f-4749-9cbe-4a572825455c
TRISUIW12903CE1327,Smash The Discos,The Business,Mean Girl,1983,168.04526,9557fdd9-41a0-4029-84d9-cb3ae944ee8a
TRBPQTH128F145AC97,Ask For Janice,Beastie Boys,Paul's Boutique,1989,11.38893,9beb62b2-88db-4cea-801e-162cd344ee53
TRMXJYL128F426A50D,Llevame,Mijares,Recuerdos De Mijares Volumen 1,0,175.51628,faaf1297-2dd0-447d-b562-006876a5f803
TRZJOSE128F42380BC,How Deep Is Your Love,the bird and the bee,Sex And The City - Original Motion Picture Soundtrack,2007,202.26567,d08b66b4-8950-439f-bd8e-2dd78dbd7a5f
TRMTBUQ128E078456E,105,Smash Mouth,Get The Picture,2003,211.1473,944e1036-8a03-4611-8aa0-31515a05c848
TRBABUC128F4250E7E,You Gave Me Everything But Love,Adelaide Hall,A Centenary Celebration,1993,189.09995,1b376fa5-2128-4cad-93c1-c3045f3c9553
TRAXNOE128F149158A,Touch Me,Cass Fox,Come Here,0,208.1171,765474a0-8d13-4108-a221-a2614fbfb182
TRZOFHA128F42B2305,Monster Meat (From The Forthcoming Album),Pizzle,Blattered,0,80.16934,e4cb0b17-957f-41ee-9198-ccedec5d6e47
TRDTURB128F93227D0,Oh Little Boy (What Did You Do To Me),Mary Wells,The Definitive Collection,1964,157.36118,43fe7a49-2a63-48f1-871c-12450d21eeb1
TRZIZOY128F42649CB,Can't Stop,Suicidal Tendencies,The Art Of Rebellion,1992,400.06485,e9e2a634-984f-4c10-bf7b-7970179e1ef1
TRKMORY128F424EFC1,Jambalya,Dash Rip Rock,Dash Rip Rock Live at Schubas 08/13/2005,0,166.00771,fed971db-e87c-488d-99ca-8953ab5599ca
TRXHQIV128F42835AD,Haaveita kuutamossa,Mutkattomat,20 Suosikkia / Jätkän humppa,0,181.96853,a4d3352c-48ad-4cb0-a94b-891a4cc5d54f
TRTFQDO128F4230E21,Make It Snappy (Album Version),The Routers,Let's Go! With The Routers,0,140.22485,98af3c81-476b-4c3a-88bd-986040c0f2c4
TRBWKWZ128F149F14C,Corruption,Fantan Mojah,Rackaz,2005,227.5522,4b013547-bf6e-422e-8cf6-564eec3d489c
TRXTHMS12903CB7A16,Tidal Wave,The Upsetters,The Upsetter,2003,243.06893,7bcf8b20-72a6-48b1-bad3-b28869090dda
TREWLIS128EF3400B0,Walking on both Sides,Pink Turns Blue,If Two Worlds Kiss,1987,224.02567,66c82752-3488-472e-8bc1-89b853da56df
TRHWQJC128F14A089C,Shine,Ayabie,Virgin Snow Color,2006,161.04444,fde93f13-1e1d-4ab8-9027-72048a600b38
