artist_mbid,mbid_canonico,nombre,nombre_orden,tipo,genero,area,anio_inicio,anio_fin,tags,wikidata,fuente
00034ede-a1f1-4219-be39-02f36853373e,00034ede-a1f1-4219-be39-02f36853373e,O Rappa,"Rappa, O",Group,,Brazil,1994,2018,alternative rock;experimental rock;funk rock;hip hop;rap rock,https://www.wikidata.org/wiki/Q2059219,musicbrainz
0004537a-4b12-43eb-a023-04009e738d2e,0004537a-4b12-43eb-a023-04009e738d2e,Ultra Naté,"Naté, Ultra",Person,Female,United States,1968,,,https://www.wikidata.org/wiki/Q444309,musicbrainz
00077d46-7b4a-4761-9eed-c7dd435fa5ff,00077d46-7b4a-4761-9eed-c7dd435fa5ff,’68 Comeback,68 Comeback,Group,,United States,1992,,,https://www.wikidata.org/wiki/Q4540387,musicbrainz
000842dd-08e9-485f-a9b6-8ada9f1c4a12,000842dd-08e9-485f-a9b6-8ada9f1c4a12,Rumillajta,Rumillajta,Group,,Bolivia,1980,,,https://www.wikidata.org/wiki/Q7379300,musicbrainz
0008af7d-2aa1-4b4d-80af-b3b64ee3cac6,0008af7d-2aa1-4b4d-80af-b3b64ee3cac6,Miklós Rózsa,"Rózsa, Miklós",Person,Male,Hungary,1907,1995,american composer;classical;composer;film composer;soundtrack,https://www.wikidata.org/wiki/Q319396,musicbrainz
000ba849-700e-452e-8858-0db591587e4a,000ba849-700e-452e-8858-0db591587e4a,The Mutton Birds,"Mutton Birds, The",Group,,New Zealand,1991,2002,alternative rock;classic pop and rock,https://www.wikidata.org/wiki/Q7752809,musicbrainz
000d90ec-d64c-48a1-b775-e726fd240e9f,000d90ec-d64c-48a1-b775-e726fd240e9f,Get Cape. Wear Cape. Fly,Get Cape. Wear Cape. Fly,Person,Male,United Kingdom,1986,,alternative rock;indie;indie rock;rock;rock and indie,https://www.wikidata.org/wiki/Q368509,musicbrainz
000fc734-b7e1-4a01-92d1-f544261b43f5,000fc734-b7e1-4a01-92d1-f544261b43f5,Cocteau Twins,Cocteau Twins,Group,,Scotland,1979,1997,dream pop;ethereal wave;shoegaze;post-punk;gothic rock,https://www.wikidata.org/wiki/Q588820,musicbrainz
001084d0-2650-4596-91e9-0b3ed7d9e22f,001084d0-2650-4596-91e9-0b3ed7d9e22f,Presto Ballet,Presto Ballet,Group,,United States,2005,,progressive rock,https://www.wikidata.org/wiki/Q3297479,musicbrainz
0011f816-f0a8-4603-b82d-6f021d214672,0011f816-f0a8-4603-b82d-6f021d214672,Rick Wade,"Wade, Rick",Person,Male,United States,,,,,musicbrainz
0017114a-a0bc-4af9-83d1-75f7a506c3f0,0017114a-a0bc-4af9-83d1-75f7a506c3f0,Sunny Ledfurd,"Ledfurd, Sunny",Person,Male,United States,,,,,musicbrainz
