track_id,recording_mbid,release_mbid,titulo,anio,mes,pais,release_group_mbid,tipo,fuente
TRAAADJ128F4287B47,896f8adb-04c9-475c-bd6b-45c97b9fe886,14703ccd-7d2c-3299-84c9-99a2218f7646,Be a Brother,1970,,United States,d946b107-cab4-4b03-9624-fe9758a78c46,Album,musicbrainz
TRAAAEA128F935A30D,bfcd25c4-c33a-4fc5-ac58-56b7920dbeaf,6fffc465-a7ea-4dab-965f-91e8e1830b6d,The Butterfly That Stamped,1989,,United Kingdom,3083f455-9d48-42b9-919b-5b3ed9c0d048,Album,musicbrainz
TRAAAFI12903CE4F0E,40feaf55-939f-4179-ae58-c34a4a653bb5,83d1821b-f77d-4b2b-9e7e-b6eac3d250fd,Die Stadt,,,,2df8cf9c-8c22-486a-9fe7-f44cc42fa549,Album,musicbrainz
TRAAAJG128F9308A25,d53a2f88-d336-4cc6-b31a-eadafb90035d,ff896309-8972-4c97-bdb1-caf299e965cf,Malvina Reynolds,2007,12,[Worldwide],1216f503-e875-449b-b452-24e46e18ff21,Album,musicbrainz
TRAAAJN128F428E437,f028e9d4-e03c-48ef-a895-980c2e04a2d6,45f243b1-7bc7-44a3-b76f-1ef8e5a4d4c8,Welcome to the Pleasuredome,1984,10,United Kingdom,c734406b-3c8a-3214-98cc-dd553f82f813,Album,musicbrainz
TRAAAOF128F429C156,a53775aa-5630-439d-8781-a54a974774d7,a72326a7-51e4-439d-862d-44eee12853c3,Let's Make Up And Be Friendly,1994,,United States,095847af-996f-3e2f-a50a-f1a92d679270,Album,musicbrainz
TRAAAUC128F428716F,5c43aed7-76d9-4815-b249-9de40ea20248,b632f9ec-9999-3372-8f51-c7258c461ed6,Green Thoughts,1988,3,United States,cfad643d-2d42-3a82-8996-dc104b22775e,Album,musicbrainz
TRAABJL12903CDCF1A,df527d0f-6afb-4ad8-b95c-c518db200519,86d57e25-b88e-4f11-ae28-7cd9faa08152,Sus Grandes Éxitos (1959-1963),2012,4,Spain,a10a0d26-abef-43ca-99a3-8a514c7d29a7,Album,musicbrainz
TRAACIE128F428495B,6340a74a-3ca8-428f-affc-5cc89e9621d7,c97f3099-cb16-3426-bc23-88a69ec4ecb8,Vitalogy,1994,11,United States,6e384e83-6cb1-36bd-813c-ca7d4cf4b9ba,Album,musicbrainz
TRAACIW12903CC0F6D,eaafc2bc-913b-4c39-9be8-1647cea7e136,a60734fe-574f-4a15-b879-c83689d6bdf9,Supercontinental,2008,10,Germany,24c051e6-2d8a-3da1-a05c-02b47a1bc478,Album,musicbrainz
TRAACUP128E0789C69,98a46a12-7383-4414-817f-1bfc04179727,4abd9d0c-6131-434d-8bcb-945527785b82,The Very Best of Herman’s Hermits,2005,5,United Kingdom,2c4f751b-50c5-349b-89dc-d6b6968d8a3e,Album,musicbrainz
TRAADAD128F9336553,74b46eae-421d-4e10-86e9-148fa29273b5,4d27dd7d-6b34-49d9-bf58-a27f82aad1b3,Essential DanceHall Reggae,1997,,United Kingdom,9b7cd3ab-2488-47d8-bcf1-9be3b3f437c2,Album,musicbrainz
TRAADJS12903CFA98D,5097a076-eadc-4ee9-a04e-f49639956cf2,39bcabf1-0cf6-4804-bb09-f40ba1135ec3,Distant Birds? Thought They Were Leaves...,2004,9,United Kingdom,e3e13567-e56c-3e9c-a599-6612c494732d,Album,musicbrainz
TRAADNA128F9331246,890ad7c6-517b-43e7-b91b-05147c634205,5b213cb2-4123-4549-b2e8-88a205c58940,Live USA,1990,,Germany,40d7fb34-8e7f-4376-989a-17b07a82b20e,,musicbrainz
TRAADRN128F932D607,2dde0325-9487-408f-957a-b2c256fca50a,44161125-f929-4f24-b8c6-ffaa5ccb2af8,EC8OR,1995,,Germany,15f86517-bf15-3bff-bccf-258366baf0c9,Album,musicbrainz
TRAADTV128F92EB880,08441a20-fd03-4847-835b-70e0234aedab,8062a7de-f11e-4710-aaff-e2a7a31bc75e,The Answer,1997,10,France,e644f645-28bb-35f6-b594-183201c749c9,Album,musicbrainz
TRAADZE12903CA6C8C,9fa7aa1c-a563-4f8c-9f48-40f130b7ba41,6d9a296c-a9bf-4951-9162-731169ccf916,Country Clubland: The Dance Anthems,2005,11,United Kingdom,0808c95d-114f-3723-8f6a-a572cf8fc112,Album,musicbrainz
TRAAEEO128F4288E88,22349bae-c0af-4790-9289-d142dde7a87f,e6c1f96e-c649-409a-9a61-7745289310c4,"Volume, Contrast, Brilliance… Sessions & Singles, Volume 1",1983,,United Kingdom,d752ef3e-316d-36f8-8dd7-d34fd38d79fa,Album,musicbrainz
TRAAEIE128F9330C33,fb757035-5721-4591-b5f3-b72cd830f0c7,cdfce29b-3720-447a-a645-c93de9abae69,Popshaped/Tried and Tested Formula,2006,,United Kingdom,79d5f343-9adc-37e2-98fd-ec1c17466417,Album,musicbrainz
TRAAEOT128F14681B9,e778fe30-0636-4590-ac13-25e9c9eebf9c,b7cfbc6d-d3fc-4f14-8530-a9e8aa89b4f8,Around Midnight,1960,,United States,80cb339d-633f-34bb-8bce-1662f8c5ee86,Album,musicbrainz
TRAAESC128EF36760E,96d63859-cb7b-4ad2-ac63-f7a8e01e0050,626829c0-b05b-4728-a87f-64886504d022,Hated On Mostly,2007,1,[Worldwide],d15d89f3-62af-319d-9ea2-dd73b20d4282,Album,musicbrainz
TRAAEUB12903CDD3EA,3bfd2bff-03a1-44f1-b1f9-7a657f35d03d,179f68f1-c801-3427-8b9c-540cf2ffa9b6,The Berzerker,2000,4,United Kingdom,8ad22fa4-e5a4-3358-8c6b-477b1f71a45b,Album,musicbrainz
TRAAFYW128F92E4147,52ceb657-4d5e-47c5-b079-8a3b77d44e9d,473a4409-cfc3-436a-97cd-0ecda17efea4,Are You Ready,1982,4,Australia,9c44c2d7-a31b-3392-8b87-c5109cdb45ca,Album,musicbrainz
TRAAGNS128F9358EC6,ecd72bcc-9990-424b-b208-d543faf4f2f6,5357e3d8-922e-419d-8c35-e8dba7eac15f,"Mystic Moods and Memories, Volume 3",2011,7,United Kingdom,4b04d042-df08-4abc-a256-3b7fe90b3e5f,Album,musicbrainz
TRAAGSG128F92CFC6E,acbfb56e-ba23-4ac5-a34a-6382be5a51bc,e5292ee6-3dde-4b08-a622-e382a3858be7,O Melhor Do Biquini Cavadão,1994,,Brazil,7c96a2ef-bb93-3871-948a-1723ef206bfa,Album,musicbrainz
TRAAHDK128F423BB26,806cd17a-9c1d-481e-84eb-eb8809adc591,7263e2dd-c17c-42b9-a791-b29ca604fe9a,Puzzle,2007,5,[Worldwide],04b8a17a-016e-37b7-a8fa-d6c7da2021f9,Album,musicbrainz
TRAAHEH128F427FCEF,2bd6a11c-715c-40c9-96f4-77fb34c0823c,ad26d4ce-b7e2-480b-afac-abcab8d6b66d,20 suosikkia: Rilluttele yö,1996,,Finland,628612e9-26a1-4d39-b14e-8ff5d02e66ea,Album,musicbrainz
TRAAHHO128F92F654C,774f298f-85a2-4596-9b76-051a09fe022f,076db095-9834-410c-bce5-4e9b1ec0f901,Reggae Heights,2001,,United Kingdom,8b3eb6f8-391e-4413-a522-371398f49156,Album,musicbrainz
TRAAHHZ128F429B6E5,e778b0fe-a3de-42b5-a7a7-aa46bdf605da,7928533c-3cbc-4564-af32-16c64d5ac37c,Totally Dance,2001,6,United States,7f004444-85c7-3dcf-aed2-9224e3a11bef,Album,musicbrainz
TRAAHLQ128F4246F56,738367d9-e0c4-4150-ae48-26d91f8ed9fa,7940fcf1-2d03-47c8-b673-66bbac90d005,Geometrie del cuore,,,,cf337e37-d821-3f4a-9f1b-be1ed0e440f4,Album,musicbrainz
TRAAHOA128F425A4F7,0adfd902-6793-4e57-8178-f339f840118a,37e0d656-1431-4708-92f1-54619d9d1a9e,Snowboy,1997,,Norway,dc3e5c5d-cda9-395e-8689-d7473af6f33a,Album,musicbrainz
TRAAHPF128F424091D,733e935c-22bc-481f-be7f-e0a373021db6,63e5a5ee-9aee-476f-8b29-a20e4b475b93,Bitterness The Star,2002,3,United States,954284df-2aa3-33b1-998c-9d8f6fdc42b6,Album,musicbrainz
TRAAHWZ128F4269B1F,17ad4cd1-9099-43b1-959d-f084c24057a8,b47b88b4-9c40-4ea0-b5cb-d96e8a6324d2,Colour Moving and Still,1999,10,Canada,60732629-496e-3398-96a1-9dcb87062f1b,Album,musicbrainz
TRAAHYK128F932A08F,233204cc-935b-4339-a0bb-d07bdf064c62,d811d469-1b94-485a-8453-db00573206ba,Jigsaw,2009,4,United Kingdom,78778614-b169-3cb0-a1fe-994ec78672d0,Album,musicbrainz
TRAAIHF128F426FFA8,90a5da2f-1412-40a3-9727-aef1dfcdd652,edc4b31e-1d2c-41e9-ad67-a166933c4d10,With Blood on My Hands,2007,1,[Worldwide],7a83dc58-09ea-35bd-ba48-970d16b26aa8,Album,musicbrainz
TRAAIHL128F92E6DDA,d5b4c89d-525a-4d9c-a576-bb8ec8e1a31a,a4274c33-cf5e-4e7d-8d35-e80340c5d8c1,II,1994,8,United States,6eaebb45-8911-3d0b-8ef3-914726356144,Album,musicbrainz
TRAAILD128F93177AC,df3691e1-e972-43de-b642-159651be3a30,2efd7719-f83d-4465-b3e1-4a01183f1341,Eden's Curse,2007,8,Japan,4699379a-bd46-36cd-a0e5-5ec3f9bcf0a7,Album,musicbrainz
TRAAIRC128F92D23C3,fddda844-072a-4380-8513-804fa89c84a4,6c5e1313-e615-4c81-aec4-324a17213211,"10,000 Years Beneath the Street",1996,8,United Kingdom,d8f29a8d-bccb-3b11-8c84-d42102d26cb2,Album,musicbrainz
